date,btc
7/19/2015,275.04
7/20/2015,280.2
7/21/2015,275.55
7/22/2015,277.99
7/23/2015,276.51
7/24/2015,288.6
7/25/2015,289.37
7/26/2015,293.01
7/27/2015,294.84
7/28/2015,295.23
7/29/2015,289.92
7/30/2015,288.21
7/31/2015,284.45
8/1/2015,280.31
8/2/2015,282.44
8/3/2015,281.28
8/4/2015,285.47
8/5/2015,282.41
8/6/2015,279.08
8/7/2015,280.19
8/8/2015,261.34
8/9/2015,265.58
8/10/2015,265.1
8/11/2015,271.96
8/12/2015,267.09
8/13/2015,264.47
8/14/2015,266.09
8/15/2015,262.2
8/16/2015,259.9
8/17/2015,258.49
8/18/2015,214
8/19/2015,226.32
8/20/2015,235.54
8/21/2015,232.17
8/22/2015,230.27
8/23/2015,228.53
8/24/2015,210.5
8/25/2015,222.68
8/26/2015,226.12
8/27/2015,225.76
8/28/2015,231.83
8/29/2015,230.75
8/30/2015,229.99
8/31/2015,231.35
9/1/2015,228.24
9/2/2015,229.71
9/3/2015,227.25
9/4/2015,230.89
9/5/2015,235.84
9/6/2015,240.97
9/7/2015,240.85
9/8/2015,244.2
9/9/2015,239.07
9/10/2015,239.49
9/11/2015,240.6
9/12/2015,235.77
9/13/2015,230.96
9/14/2015,230.89
9/15/2015,230.93
9/16/2015,228.99
9/17/2015,233.61
9/18/2015,228.34
9/19/2015,232.09
9/20/2015,232.12
9/21/2015,227.22
9/22/2015,231.11
9/23/2015,230.54
9/24/2015,234.65
9/25/2015,235.26
9/26/2015,234.63
9/27/2015,233.37
9/28/2015,240.43
9/29/2015,236.8
9/30/2015,236.49
10/1/2015,238.48
10/2/2015,237.86
10/3/2015,239.79
10/4/2015,239.5
10/5/2015,242
10/6/2015,247.36
10/7/2015,244
10/8/2015,243
10/9/2015,244.82
10/10/2015,246.01
10/11/2015,247.99
10/12/2015,246.17
10/13/2015,251.25
10/14/2015,253.5
10/15/2015,255.19
10/16/2015,263.45
10/17/2015,272.9
10/18/2015,265.01
10/19/2015,265.1
10/20/2015,270.97
10/21/2015,267.8
10/22/2015,275.83
10/23/2015,279.21
10/24/2015,284.19
10/25/2015,284.79
10/26/2015,287.22
10/27/2015,295.29
10/28/2015,304.5
10/29/2015,314.88
10/30/2015,328.19
10/31/2015,316
11/1/2015,330.23
11/2/2015,365.33
11/3/2015,405
11/4/2015,409.24
11/5/2015,387.14
11/6/2015,375.56
11/7/2015,384.99
11/8/2015,374.1
11/9/2015,381.1
11/10/2015,340.18
11/11/2015,314.45
11/12/2015,336.84
11/13/2015,338.53
11/14/2015,333.37
11/15/2015,320.52
11/16/2015,332.1
11/17/2015,336.29
11/18/2015,335.94
11/19/2015,326.5
11/20/2015,322.2
11/21/2015,327.84
11/22/2015,324.66
11/23/2015,323.63
11/24/2015,320.1
11/25/2015,329.85
11/26/2015,354
11/27/2015,358.9
11/28/2015,358.6
11/29/2015,373.89
11/30/2015,376.88
12/1/2015,362.59
12/2/2015,359.12
12/3/2015,360.53
12/4/2015,363.17
12/5/2015,389.79
12/6/2015,390.6
12/7/2015,396.7
12/8/2015,422
12/9/2015,418.73
12/10/2015,414.94
12/11/2015,457
12/12/2015,435.61
12/13/2015,433.36
12/14/2015,442.59
12/15/2015,466.01
12/16/2015,454.94
12/17/2015,455.57
12/18/2015,463.52
12/19/2015,462.44
12/20/2015,442.62
12/21/2015,437.52
12/22/2015,435.65
12/23/2015,442.62
12/24/2015,456.13
12/25/2015,455.47
12/26/2015,416.51
12/27/2015,422.32
12/28/2015,420.24
12/29/2015,431.79
12/30/2015,423.55
12/31/2015,429.02
1/1/2016,433.98
1/2/2016,432.7
1/3/2016,428.39
1/4/2016,432.9
1/5/2016,431.84
1/6/2016,428.89
1/7/2016,458.78
1/8/2016,454
1/9/2016,449.23
1/10/2016,449.35
1/11/2016,449.26
1/12/2016,432.04
1/13/2016,431.11
1/14/2016,429.25
1/15/2016,359.16
1/16/2016,388.4
1/17/2016,382.02
1/18/2016,387.1
1/19/2016,378.93
1/20/2016,419.55
1/21/2016,411.01
1/22/2016,380.96
1/23/2016,385.57
1/24/2016,402.77
1/25/2016,390.96
1/26/2016,391.41
1/27/2016,394.97
1/28/2016,378.39
1/29/2016,377.6
1/30/2016,376.56
